,Cluster,Biomarker,Relations
3740,400,Vitamin C,"[{'article': 'PMC4202787.txt', 'relationship': 'ASSOCIATED_WITH_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4202787.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3672,401,VBM,"[{'article': 'PMC2764863.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Assess atrophy and predict conversion from MCI to AD'}, {'article': 'PMC8760674.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Cortical thickness changes'}, {'article': 'PMC9246122.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Brain regions associated with cognitive factors and brain atrophy'}]"
2497,401,NBM,"[{'article': 'PMC6130053.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6130053.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'NBM stimulation may serve to facilitate communication across intact networks and revitalize networks that have fallen out of phase.'}, {'article': 'PMC6130053.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6130053.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Treatment of dementia'}]"
2553,401,NbM measurement,"[{'article': 'PMC5326769.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognostic evaluation""}]"
2554,401,NbM volume,"[{'article': 'PMC5326769.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Cognitive impairment in subcortical VCIND'}]"
218,402,APP,"[{'article': 'PMC10294511.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Increased Aβ Production'}, {'article': 'PMC10294511.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10294511.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC10294511.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Aβ generation'}, {'article': 'PMC10294511.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10294511.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Alzheimer's Disease therapy""}, {'article': 'PMC2765081.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC2880593.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC2880593.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3397527.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Alzheimer’s disease'}, {'article': 'PMC3397527.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3741576.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3741576.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Amyloid production in Alzheimer's Disease""}, {'article': 'PMC4461930.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Inhibition of γ-secretase cleavage of APP associated with adverse cognitive effects'}, {'article': 'PMC4511231.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Autosomal Dominant Alzheimer's Disease""}, {'article': 'PMC4511231.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Autosomal Dominant Alzheimer's Disease""}, {'article': 'PMC4617238.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Amyloid pathway manipulation for reducing AD incidence'}, {'article': 'PMC4659639.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4675859.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognostic model""}, {'article': 'PMC4675859.txt', 'relationship': 'PROMOTES', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4780148.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Amyloid plaques in AD brain'}, {'article': 'PMC4876682.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Increased Aβ levels and Aβ42/Aβ40 ratio'}, {'article': 'PMC4876682.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC4939696.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5100351.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Autosomal dominant Alzheimer's Disease""}, {'article': 'PMC5297247.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Outcome: Alzheimer's Disease""}, {'article': 'PMC5297247.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5427593.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6004911.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease in Down Syndrome""}, {'article': 'PMC6004911.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Amyloid deposits in the brain'}, {'article': 'PMC6145937.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC6145937.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Aβ production and synapse stability'}, {'article': 'PMC6145937.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6145937.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6145937.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6211704.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC6679484.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Familial Alzheimer's Disease""}, {'article': 'PMC6961388.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Familial Alzheimer's Disease""}, {'article': 'PMC7067577.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid plaques formation'}, {'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}, {'article': 'PMC9972804.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC9972804.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Early identification of Alzheimer's Disease""}, {'article': 'PMC9972804.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Cognitive decline in preclinical Familial Alzheimer's Disease""}, {'article': 'PMC9972804.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9972804.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
224,402,APP levels,"[{'article': 'PMC8470960.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]"
227,402,APP p.A673T,"[{'article': 'PMC4617238.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Protective effect in Alzheimer's Disease""}]"
229,402,APP-FL,"[{'article': 'PMC7389451.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}]"
233,402,APPsw,"[{'article': 'PMC3338462.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Improved performance in Y-maze task with EMF treatment'}]"
221,402,APP fragments,"[{'article': 'PMC6106931.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
232,402,APPSwe,"[{'article': 'PMC6145937.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Synapse loss and reduced synapse stability'}]"
231,402,APP23,"[{'article': 'PMC4674770.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
479,403,ApoE4 genotype,"[{'article': 'PMC4731943.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease""}]"
476,403,ApoE-E4 genotype,"[{'article': 'PMC4846650.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Earlier emergence of clinical symptoms'}, {'article': 'PMC4846650.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Specific brain region atrophy'}]"
475,403,ApoE-E4 gene,"[{'article': 'PMC4846650.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Pre-AD'}]"
470,403,ApoE proteotype,"[{'article': 'PMC8088704.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}]"
469,403,ApoE genotyping,"[{'article': 'PMC7830228.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}]"
468,403,ApoE genotype,"[{'article': 'PMC8225898.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Alzheimer's Disease""}, {'article': 'PMC8225898.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8225898.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8733254.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
190,403,APOE genotype,"[{'article': 'PMC4406069.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Cognitive decline and Alzheimer's Disease""}, {'article': 'PMC8966264.txt', 'relationship': 'PREDICTS_CONVERSION_TO', 'object': ""Alzheimer's Disease dementia""}, {'article': 'PMC5103503.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5103503.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Risk assessment for Alzheimer's Disease""}, {'article': 'PMC5668981.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Cognitive performance and Alzheimer's disease risk""}, {'article': 'PMC6004911.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Age of dementia onset in individuals with Down Syndrome and Alzheimer's Disease""}, {'article': 'PMC7274941.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7274941.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Cognitive changes in response to physical activity'}, {'article': 'PMC9644639.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Treatment selection: Bexarotene treatment'}]"
3932,403,apoe4 genotype,"[{'article': 'PMC8211849.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Alzheimer’s Disease'}]"
195,403,APOE ε3 genotype,"[{'article': 'PMC3523068.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]"
199,403,APOE ε4 genotype,"[{'article': 'PMC10013957.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased risk in individuals with Subjective Cognitive Decline (SCD)'}, {'article': 'PMC5648830.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6945608.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease risk assessment""}]"
203,403,APOE-ɛ4 genotype,"[{'article': 'PMC8351379.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's disease genetic risk""}]"
3926,403,apoE genotype,"[{'article': 'PMC3534053.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}]"
212,403,APOE4 genotype,"[{'article': 'PMC8966264.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC6236893.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Increased risk for Alzheimer's Disease""}]"
1066,404,Cerebral infarcts,"[{'article': 'PMC6565843.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
2072,404,Infarct presence,"[{'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1763,404,Global Microbleed and Infarct Presence,"[{'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2416,404,Microinfarcts,"[{'article': 'PMC4706154.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cognitive aging'}]"
2453,405,Molecular layer thickness,"[{'article': 'PMC4979550.txt', 'relationship': 'RESPONDED_TO', 'object': 'Increased by T3D-959 treatment'}]"
3338,405,Substantia innominata (SI) thickness,"[{'article': 'PMC5326769.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Nucleus basalis of Meynert (NbM) atrophy'}]"
1433,405,ERC thickness,"[{'article': 'PMC3767625.txt', 'relationship': 'PREDICTS_CONVERSION_TO', 'object': 'Mild cognitive impairment'}]"
1012,405,Carotid Intima-Media Thickness (CCA-IMT),"[{'article': 'PMC6074058.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Progression of non-dementia vascular cognitive impairment'}]"
3645,406,Tumor necrosis factor alpha [TNF-α],"[{'article': 'PMC8789895.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
3643,406,Tumor Necrosis Factor (TNF),"[{'article': 'PMC7089534.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Lower risk for Alzheimer’s Disease'}]"
3644,406,Tumor necrosis factor alpha (TNFα),"[{'article': 'PMC8481830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Indicates presence of: Alzheimer’s Disease'}]"
3646,406,Tumor necrosis factor beta [TNF-β],"[{'article': 'PMC8789895.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
513,407,Attention,"[{'article': 'PMC4283145.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC7288029.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Positive change in brain activity'}, {'article': 'PMC7693499.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3540,407,Test of Everyday Attention,"[{'article': 'PMC9340683.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Change in attention in participants with mild to moderate Alzheimer's disease""}, {'article': 'PMC9340683.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC9340683.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3542,407,Tests of Attention: Trails A and B,"[{'article': 'PMC9340683.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Change in attention in participants with mild to moderate Alzheimer's disease""}]"
3244,407,Simple Attention,"[{'article': 'PMC4497726.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Cognitive performance'}]"
1185,407,Complex attention,"[{'article': 'PMC8201462.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Diagnose: Alzheimer's Disease and Related Dementia (ADRD)""}]"
343,408,Altoida Digital Neuro Signature (DNS),"[{'article': 'PMC8225898.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Predicts risk of developing mild cognitive impairment due to Alzheimer's Disease""}]"
342,408,Altoida DNS,"[{'article': 'PMC8225898.txt', 'relationship': 'PREDICTS_CONVERSION', 'object': ""Predicts conversion from mild cognitive impairment to Alzheimer's Disease 6–8 months prior to the event""}, {'article': 'PMC8225898.txt', 'relationship': 'MONITORS_DISEASE_PROGRESSION', 'object': ""Monitors disease progression in Alzheimer's Disease""}, {'article': 'PMC8225898.txt', 'relationship': 'PREDICTS_DISEASE_PROGRESSION', 'object': ""Predicts disease progression in Alzheimer's Disease""}, {'article': 'PMC8225898.txt', 'relationship': 'USED_AS_CLINICAL_TRIAL_ENDPOINT', 'object': ""Used as a clinical trial endpoint for Alzheimer's Disease""}]"
1355,408,Digital Neuro Signature (DNS),"[{'article': 'PMC8225898.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease and mild cognitive impairment""}, {'article': 'PMC8225898.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Predicting conversion from mild cognitive impairment to Alzheimer's Disease""}, {'article': 'PMC8225898.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Monitoring: Disease progression and treatment response in Alzheimer's Disease""}]"
2375,409,Medial temporal lobe volumes,"[{'article': 'PMC4750048.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3060,409,Relative preservation of medial temporal lobe structures on CT/MRI,"[{'article': 'PMC5496518.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Dementia with Lewy bodies (DLB)'}]"
4263,409,medial temporal lobe volumes,"[{'article': 'PMC4750048.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Increased risk of developing dementia'}]"
3918,409,anterior lobe structures,"[{'article': 'PMC5619554.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
4262,409,medial temporal lobe structures,"[{'article': 'PMC5619554.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
2803,409,Parietal lobe,"[{'article': 'PMC7662091.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Alzheimer's Disease""}]"
4261,409,medial temporal lobe network,"[{'article': 'PMC4846650.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Preclinical Alzheimer's Disease""}]"
2374,409,Medial temporal lobe volume,"[{'article': 'PMC4750048.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Outcome: Smaller medial temporal lobe volumes'}]"
2091,409,Insular lobe,"[{'article': 'PMC10439779.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}]"
4589,410,ventricular volume,"[{'article': 'PMC4461930.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Increase in ventricular volume in response to semagacestat treatment'}]"
4588,410,ventricles volume,"[{'article': 'PMC4132648.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3710,410,Ventricular volume,"[{'article': 'PMC4283145.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4461930.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Outcome: Greater ventricular expansion in high-dose treatment arm'}, {'article': 'PMC4461930.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC4461930.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Outcome: Poor prognosis in Alzheimer's Disease""}, {'article': 'PMC6565843.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Related to prognosis of Alzheimer's Disease""}]"
3709,410,Ventricles (% TIV),"[{'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}]"
3006,411,RBANS scores,"[{'article': 'PMC9513684.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to Constant Therapy intervention'}, {'article': 'PMC9513684.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Cognitive function in Alzheimer's Disease patients""}]"
3005,411,RBANS Total Score,"[{'article': 'PMC7729136.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive changes due to MPH treatment in Alzheimer's Disease""}]"
3008,411,RBANS total scale index scores,"[{'article': 'PMC3832588.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to BCI-based intervention in elderly participants'}]"
3009,411,RBANS total score,"[{'article': 'PMC7592675.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Improvement in cognitive functions in suspected mild cognitive impairment'}, {'article': 'PMC7592675.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive improvement in Alzheimer's Disease""}]"
3004,411,RBANS,"[{'article': 'PMC3832588.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC3832588.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Monitor: Cognitive decline in Alzheimer's Disease during BCI intervention""}, {'article': 'PMC3832588.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8110716.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC8564643.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Improvement in social engagement and performance of ADLs'}, {'article': 'PMC7227237.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Change in cognitive function related to Alzheimer's Disease""}, {'article': 'PMC7227237.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC7592675.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Mild cognitive impairment and early signs of Alzheimer's Disease""}, {'article': 'PMC7592675.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of: Cognitive improvement in memory functions'}, {'article': 'PMC7729136.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Cognitive function in Alzheimer's Disease""}, {'article': 'PMC9513684.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3007,411,RBANS subtest scores,"[{'article': 'PMC9513684.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive decline in Alzheimer's Disease""}]"
3824,412,Y maze,"[{'article': 'PMC6796854.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
2465,412,Morris water maze,"[{'article': 'PMC6796854.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
2464,412,Morris Water Maze Performance,"[{'article': 'PMC4397698.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive Deficits in Alzheimer's Disease""}]"
1877,413,High Cholesterol,"[{'article': 'PMC4615808.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2900,413,Plasma cholesterol,"[{'article': 'PMC3216294.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3237,413,Serum total cholesterol,"[{'article': 'PMC8351379.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease""}]"
3591,413,Total cholesterol (TC),"[{'article': 'PMC7934383.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1115,413,Cholesterol levels,"[{'article': 'PMC8351379.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'White matter integrity preservation'}, {'article': 'PMC6208946.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1114,413,Cholesterol,"[{'article': 'PMC3397527.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Outcome: Increased risk of Alzheimer's Disease""}, {'article': 'PMC4615808.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4731943.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Reduced parietal cortical amyloid burden in apoe4 noncarriers'}, {'article': 'PMC8857690.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3590,413,Total cholesterol,"[{'article': 'PMC4179179.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive impairment associated with Alzheimer's Disease""}, {'article': 'PMC5105117.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Metabolic changes in Alzheimer's Disease""}]"
3577,413,Total Cholesterol,"[{'article': 'PMC4179179.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Cognitive impairment in elderly subjects'}, {'article': 'PMC4487699.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4056,413,cholesterol,"[{'article': 'PMC8857690.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}]"
2252,414,MAP-2,"[{'article': 'PMC4908397.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4908397.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Mature neuronal differentiation in Alzheimer's Disease""}]"
2254,414,MAPT mutations,"[{'article': 'PMC5450399.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2253,414,MAPT,"[{'article': 'PMC5100351.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Neurodegenerative diseases'}, {'article': 'PMC5450399.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Inherited frontotemporal dementia and parkinsonism with Tau inclusions'}]"
4378,414,p38 MAPK,"[{'article': 'PMC4485995.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
