,Biomarker,Relations,Cluster
3127,SCFA (Short Chain Fatty Acids),"[{'article': 'PMC8043748.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Increased Aβ plaque deposition in Alzheimer's Disease""}]",186
3128,SCFAs,"[{'article': 'PMC8043748.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Aβ plaque deposition'}, {'article': 'PMC8043748.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}, {'article': 'PMC8043748.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Spatial memory deficits in Alzheimer's Disease""}, {'article': 'PMC8873004.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8873004.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5445077.txt', 'relationship': 'EXERT_NEUROMODULATOR_EFFECTS_AND_ACT_ON_GASTROINTESTINAL_CELLS_STIMULATING_SYNTHESIS_OF', 'object': 'Leptin and GLP-1'}, {'article': 'PMC5445077.txt', 'relationship': 'HAVE_THERAPEUTIC_POTENTIAL_IN', 'object': 'Neurodegenerations'}, {'article': 'PMC6530014.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",66
3129,"SCFAs (butyrate, acetate, propionate)","[{'article': 'PMC6593891.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]",186
3130,SCOT,"[{'article': 'PMC3213220.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",66
3131,SCP VD (parafoveal),"[{'article': 'PMC6445433.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Cognitive performance in Alzheimer's Disease""}]",603
3132,SDI,"[{'article': 'PMC8127192.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4069047.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC7083107.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Sleep disturbances in institutionalized dementia patients'}, {'article': 'PMC7083107.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Treatment selection: Identifying patients for sleep interventions and mapping underlying causes of sleep problems'}]",204
3133,SDMT,"[{'article': 'PMC7693499.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Total ADL and IADL in Alzheimer's Disease patients""}]",84
3134,SDST,"[{'article': 'PMC7288029.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Information processing speed deficits in Alzheimer's Disease""}]",204
3135,SDT,"[{'article': 'PMC4637414.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",204
3136,SE,"[{'article': 'PMC8127192.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",261
3137,SEMA4D,"[{'article': 'PMC4966508.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'VX15/2503 treatment'}]",261
3138,SENSORIMOTOR SYNCHRONIZATION (SMS),"[{'article': 'PMC10092214.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Disease progression in neurodegenerative disorders'}]",70
3139,SFA,"[{'article': 'PMC10236460.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",582
3140,SFN,"[{'article': 'PMC4159858.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Treatment: Neuroprotection in Alzheimer's Disease""}, {'article': 'PMC4159858.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment Selection: Alzheimer's Disease therapy""}, {'article': 'PMC4159858.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Treatment of Alzheimer's Disease""}]",582
3141,SFS,"[{'article': 'PMC7674649.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Assess managing finances in Alzheimer's Disease""}, {'article': 'PMC7674649.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Assess self-care in Alzheimer's Disease""}, {'article': 'PMC7674649.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Assess self-management in Alzheimer's Disease""}, {'article': 'PMC7674649.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Assess use of technology/devices in Alzheimer's Disease""}, {'article': 'PMC7674649.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Assess motivation in Alzheimer's Disease""}]",582
3142,SG performance data,"[{'article': 'PMC4406069.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-stage Alzheimer's Disease""}, {'article': 'PMC4406069.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Treatment: Delay cognitive and motor decline in the elderly'}]",330
3143,SHIP2,"[{'article': 'PMC9962062.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]",39
3144,SI,"[{'article': 'PMC8795741.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""SI scores are correlated with somatomotor network changes in Alzheimer's Disease""}, {'article': 'PMC8795741.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",367
3145,SIB,"[{'article': 'PMC2949590.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Preserved abilities in severe AD'}, {'article': 'PMC3218804.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3218804.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Severe impairment in Alzheimer's Disease""}, {'article': 'PMC3226311.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Cognitive improvement in Alzheimer's Disease patients treated with donepezil 23 mg/day""}, {'article': 'PMC7995588.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Change from baseline to week 24 in Severe Impairment Battery scores'}, {'article': 'PMC7995588.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response: Improvement in cognitive function in patients with Alzheimer's Disease""}]",367
3146,SIB-L,"[{'article': 'PMC3226311.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Language function improvement in Alzheimer's Disease patients treated with donepezil 23 mg/day""}, {'article': 'PMC3226311.txt', 'relationship': 'RESPONDED_TO', 'object': 'Donepezil 23 mg/day treatment'}]",367
3147,SIB[lang],"[{'article': 'PMC3226311.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Improvement in language abilities'}]",367
3148,SICI,"[{'article': 'PMC6370863.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease cognitive decline""}, {'article': 'PMC7360860.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7360860.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7360860.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Reduced short-interval intracortical inhibition in Alzheimer's Disease""}]",75
3149,SIK1,"[{'article': 'PMC7884393.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease""}]",135
3150,SIRT1,"[{'article': 'PMC8470960.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Insulin sensitivity in Alzheimer's Disease""}, {'article': 'PMC6074058.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Metformin'}, {'article': 'PMC7674923.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Improved cognitive behavior and mitochondrial function in Alzheimer's Disease""}]",641
3151,SLAB51 probiotic formulation,"[{'article': 'PMC5445077.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Treatment of Alzheimer's Disease""}]",211
3152,SLC24A4,"[{'article': 'PMC4876682.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}]",544
3153,SLC24A4/RIN3,"[{'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s Disease'}]",544
3154,SLC2A1,"[{'article': 'PMC6211704.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",544
3155,SLC2A4,"[{'article': 'PMC6211704.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6211704.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to anti-diabetic medications in Alzheimer's Disease""}]",544
3156,SLI,"[{'article': 'PMC6920432.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",38
3157,SLIs,"[{'article': 'PMC6353871.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cerebral small vessel disease in Alzheimer's Disease""}]",38
3158,SLUMS,"[{'article': 'PMC7745768.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Dementia range in Alzheimer's Disease""}]",38
3159,SMB53,"[{'article': 'PMC5648830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral spinal fluid Aβ42/Aβ40 ratio (lower levels reflect greater amyloid burden)'}, {'article': 'PMC5648830.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased cerebral spinal fluid YKL-40 levels (marker of astroglial and/or microglial activation)'}, {'article': 'PMC5648830.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Less AD pathology'}, {'article': 'PMC5648830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Glial activation in AD'}]",245
3160,SMS,"[{'article': 'PMC10092214.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Sensorimotor Synchronization in Neurocognitive Disorders'}, {'article': 'PMC10092214.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Treatment: Motor and Socioemotional Responses to Music Rhythm'}]",119
3161,SMS consistency,"[{'article': 'PMC10092214.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Motor and cognitive dysfunction in Alzheimer's Disease""}]",119
3162,SNAP-25,"[{'article': 'PMC8416781.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Dystrophic synapses in Alzheimer's Disease""}, {'article': 'PMC6966425.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Patient selection'}, {'article': 'PMC6966425.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Patient selection in Alzheimer's Disease""}]",620
3163,SNCA,"[{'article': 'PMC5496518.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]",434
3164,SNX17,"[{'article': 'PMC11274940.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]",320
3165,SO power,"[{'article': 'PMC10758173.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Relative memory increase at post-intervention and follow-up'}]",42
3166,SO/spindle coupling strength,"[{'article': 'PMC10758173.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Relative memory increase at post-intervention and follow-up'}]",354
3167,SOD,"[{'article': 'PMC4659639.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}, {'article': 'PMC4659639.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Higher SOD levels in intervention groups'}, {'article': 'PMC4659639.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response: Oxidative stress reduction in Alzheimer's Disease""}, {'article': 'PMC4890804.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4890804.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Oxidative stress response in mTBI'}, {'article': 'PMC4981900.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Assess: Safety and efficacy of EMF treatment in Alzheimer's Disease""}, {'article': 'PMC4981900.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""No oxidative stress in Alzheimer's Disease""}, {'article': 'PMC6966425.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Differentiating mild cognitive impairment from healthy controls'}]",35
3168,SOD activity,"[{'article': 'PMC7551340.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Increased antioxidant defense mechanisms'}]",35
3169,SOD1,"[{'article': 'PMC4890804.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4890804.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Phenserine treatment response in mTBI'}, {'article': 'PMC4890804.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Phenserine treatment in Alzheimer's Disease""}]",35
3170,SOD2,"[{'article': 'PMC4890804.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4890804.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Phenserine treatment response in mTBI'}, {'article': 'PMC4890804.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Phenserine treatment in Alzheimer's Disease""}, {'article': 'PMC9666898.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Upregulation of SOD2 during osteogenesis in human MSCs'}]",35
3171,SOD3,"[{'article': 'PMC9666898.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Reduction in SOD3 levels during chondrogenesis'}]",35
3172,SOM,"[{'article': 'PMC6174237.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6174237.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Higher levels of Aβ1–42 in Alzheimer's Disease""}, {'article': 'PMC6174237.txt', 'relationship': 'PREDICTS_MORTALITY', 'object': 'All-cause and cardiovascular mortality'}, {'article': 'PMC6174237.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6174237.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease treatment""}]",35
3173,SORCS1,"[{'article': 'PMC3523068.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Late-onset Alzheimer's Disease""}]",35
3174,SORL1,"[{'article': 'PMC10294511.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3335851.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3335851.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3335851.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3335851.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4888851.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Late-onset Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Increased risk of Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC5068716.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",35
3175,SPECT,"[{'article': 'PMC4826954.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC5642413.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",294
3176,SPECT imaging,"[{'article': 'PMC8690894.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",294
3177,SPECT scan,"[{'article': 'PMC7171193.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",294
3178,SPECT-DaTscan®,"[{'article': 'PMC6236893.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Functional disability progression in Alzheimer's Disease""}]",294
3179,SPMSQ >= 4 errors,"[{'article': 'PMC1914346.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Nursing home admission'}]",254
3180,SPPB,"[{'article': 'PMC8564955.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Disability and all-cause mortality'}, {'article': 'PMC8564955.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Reduction of risk in functional capacity'}]",470
3181,SPPB (Short Physical Performance Battery),"[{'article': 'PMC8564955.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Low scores predictive of ADL decline'}]",470
3182,SRSS,"[{'article': 'PMC10439779.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10439779.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Sleep Disturbances in Alzheimer's Disease""}]",190
3183,SRT,"[{'article': 'PMC4637414.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",190
3184,SRT latencies,"[{'article': 'PMC4656817.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Malingering in neuropsychological testing'}]",190
3185,SRT latency,"[{'article': 'PMC4374455.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",190
3186,SRT variance,"[{'article': 'PMC4374455.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",55
3187,SUVR,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4519341.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of: Amyloid burden'}, {'article': 'PMC4519341.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Outcome: Higher amyloid burden'}, {'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC8005243.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': 'Aβ pathology'}, {'article': 'PMC8005243.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Disease progression'}, {'article': 'PMC8005243.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Early Aβ accumulation'}, {'article': 'PMC8570037.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Amyloid-beta presence in Alzheimer's Disease""}, {'article': 'PMC5352784.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5352784.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5352784.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Probable Alzheimer's Disease""}, {'article': 'PMC5352784.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of Amyloid Burden'}, {'article': 'PMC5352784.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6146627.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to crenezumab treatment'}, {'article': 'PMC6937673.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Guide treatment selection based on amyloid burden in Alzheimer's Disease""}]",375
3188,SUVR 18F-FBP,"[{'article': 'PMC8280160.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease via higher SUVR values""}, {'article': 'PMC8280160.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Higher SUVR values associated with worse outcomes in Alzheimer's Disease""}]",375
3189,SUVR 18F-FDG,"[{'article': 'PMC8280160.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease via lower SUVR values""}, {'article': 'PMC8280160.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Lower SUVR values associated with more severe Alzheimer's Disease""}]",552
3190,SUVR in caudate,"[{'article': 'PMC6204612.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau pathology in Alzheimer's Disease""}]",340
3191,SUVR in globus pallidus,"[{'article': 'PMC6204612.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau pathology in Alzheimer's Disease""}]",340
3192,SUVR in putamen,"[{'article': 'PMC6204612.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau pathology in Alzheimer's Disease""}]",340
3193,SUVR in thalamus,"[{'article': 'PMC6204612.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau pathology in Alzheimer's Disease""}]",340
3194,SUVRMNI-CB,"[{'article': 'PMC6146627.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Amyloid accumulation in Alzheimer's Disease""}]",151
3195,SUVRMNI-WM,"[{'article': 'PMC6146627.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Amyloid accumulation in Alzheimer's Disease""}]",151
3196,SUVr (Standardized Uptake Value Ratio),"[{'article': 'PMC6615169.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Amyloid deposition in Alzheimer's Disease""}]",16
3197,SV2A,"[{'article': 'PMC8325256.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Amyloid precursor protein (APP)'}]",298
3198,SVD features,"[{'article': 'PMC4706154.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cognitive impairment and dementia'}, {'article': 'PMC4706154.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Cognitive dysfunction'}]",298
3199,SVD score,"[{'article': 'PMC4706154.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC4706154.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Cognitive decline in older adults'}]",298
3200,SVD-associated features,"[{'article': 'PMC4706154.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Cognitive aging'}]",298
3201,SVLT,"[{'article': 'PMC5036810.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Verbal Memory Impairment in Alzheimer's Disease""}, {'article': 'PMC5036810.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Diagnose: Alzheimer's Disease""}]",298
3202,SWA,"[{'article': 'PMC9053232.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9053232.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Monitor: Auditory stimulation effects on Alzheimer's Disease""}]",38
3203,SWF,"[{'article': 'PMC5036810.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Executive Function Impairment in Alzheimer's Disease""}, {'article': 'PMC5036810.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Diagnose: Alzheimer's Disease""}]",38
3204,SWM performance,"[{'article': 'PMC10916999.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Worse performance in Alzheimer's Disease compared to healthy controls""}]",330
3205,SYK,"[{'article': 'PMC11274940.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Modulation of Aβ phagocytosis and cognitive deficits in AD'}, {'article': 'PMC11274940.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Development of DAM and Aβ deposition in AD'}, {'article': 'PMC11274940.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Target for treatment: Rescued microglia activation.'}]",183
3206,Saccular function,"[{'article': 'PMC9344717.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",50
3207,Salivary cortisol,"[{'article': 'PMC3652205.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Reduction in salivary cortisol levels after yoga and compassion meditation program'}, {'article': 'PMC4922661.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4922661.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8336239.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",132
3208,Salivary melatonin,"[{'article': 'PMC8336239.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",536
3209,Sarkosyl-insoluble Tau,"[{'article': 'PMC4294473.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Tau aggregation and conversion from soluble Tau'}, {'article': 'PMC4294473.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",619
3210,Sarkosyl-insoluble tau,"[{'article': 'PMC6201586.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",619
3211,Sarkosyl-soluble Tau,"[{'article': 'PMC4294473.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Tau aggregation and conversion to insoluble Tau'}]",619
3212,Saturated fatty acids (14:0 and 16:0),"[{'article': 'PMC4179179.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Cognitive impairment in Alzheimer's Disease""}]",259
3213,"Saturated fatty acids (14:0, 16:0)","[{'article': 'PMC4179179.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive impairment related to Alzheimer's Disease""}]",259
3214,Schedule for the Evaluation of Individual Quality of Life - Direct Weighing (SEIQoL-DW),"[{'article': 'PMC2949590.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Individual quality of life domains in Alzheimer's Disease""}]",117
3215,Sedentary lifestyle,"[{'article': 'PMC9501541.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease Progression""}]",260
3216,Sele,"[{'article': 'PMC8581408.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Inflamed BBB endothelium'}]",261
3217,Selective serotonin reuptake inhibitors (SSRIs),"[{'article': 'PMC5648830.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease treatment""}]",688
3218,Semagacestat,"[{'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Failed Phase III clinical trials due to worsening symptoms'}]",261
3219,Semantic Deficits,"[{'article': 'PMC4611852.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",656
3220,Semantic Fluency,"[{'article': 'PMC4876902.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Disease-Related Declines in Cognitive Abilities'}]",656
3221,Semantic Paraphasia,"[{'article': 'PMC4611852.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",92
